                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.48017,                0.33503,                0.86088,                0.94213,                0.76471,                0.86287,                 0.5252,                      0,                    inf,                      0,              0.0033175,              0.0033175,              0.0033175
                     83,                0.48323,                0.33614,                0.86682,                0.90359,                   0.75,                0.83127,                0.51649,                      0,                    inf,                      0,               0.003235,               0.003235,               0.003235
                     84,                0.47268,                0.32298,                0.85774,                 0.8726,                0.80584,                0.86316,                0.51383,                      0,                    inf,                      0,              0.0031525,              0.0031525,              0.0031525
                     85,                0.47186,                0.31529,                0.85892,                0.93896,                   0.75,                0.84569,                0.52285,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     86,                0.45942,                0.31153,                0.86485,                0.96287,                0.76278,                0.85975,                0.51715,                      0,                    inf,                      0,              0.0029875,              0.0029875,              0.0029875
                     87,                0.45551,                0.31132,                 0.8571,                0.94711,                0.79004,                0.86918,                0.53597,                      0,                    inf,                      0,               0.002905,               0.002905,               0.002905
                     88,                0.43925,                0.30618,                 0.8636,                0.98112,                0.76408,                0.86941,                0.53984,                      0,                    inf,                      0,              0.0028225,              0.0028225,              0.0028225
                     89,                0.43069,                0.28856,                0.84787,                0.91128,                0.77941,                 0.8651,                0.54886,                      0,                    inf,                      0,                0.00274,                0.00274,                0.00274
                     90,                 0.4408,                0.30196,                0.86044,                0.95711,                0.77941,                0.87863,                 0.5473,                      0,                    inf,                      0,              0.0026575,              0.0026575,              0.0026575
                     91,                0.43452,                0.29744,                  0.863,                0.96411,                0.79009,                0.88024,                0.52616,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     92,                0.43283,                0.29078,                0.85036,                0.99595,                   0.75,                0.86706,                 0.5165,                      0,                    inf,                      0,              0.0024925,              0.0024925,              0.0024925
                     93,                0.41983,                0.29404,                0.84685,                0.96225,                0.74978,                0.84984,                0.49361,                      0,                    inf,                      0,                0.00241,                0.00241,                0.00241
                     94,                0.41472,                0.29127,                0.85244,                0.95572,                   0.75,                0.87516,                0.49266,                      0,                    inf,                      0,              0.0023275,              0.0023275,              0.0023275
                     95,                0.39713,                0.28118,                0.84642,                0.92199,                0.76471,                0.88147,                0.52704,                      0,                    inf,                      0,               0.002245,               0.002245,               0.002245
                     96,                0.40443,                0.28334,                0.84739,                0.92844,                0.76471,                0.87155,                0.53702,                      0,                    inf,                      0,              0.0021625,              0.0021625,              0.0021625
                     97,                0.40069,                0.27803,                0.83793,                0.94915,                0.76471,                0.87063,                0.54601,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     98,                0.40468,                0.28003,                0.84422,                0.96414,                   0.75,                0.85748,                0.54199,                      0,                    inf,                      0,              0.0019975,              0.0019975,              0.0019975
                     99,                0.40298,                0.28194,                0.84634,                0.99678,                0.76471,                0.88725,                 0.5628,                      0,                    inf,                      0,               0.001915,               0.001915,               0.001915
                    100,                0.40146,                0.28187,                0.84536,                0.97946,                0.76471,                0.88537,                0.55282,                      0,                    inf,                      0,              0.0018325,              0.0018325,              0.0018325
                    101,                0.36476,                  0.266,                0.83788,                0.98476,                0.72059,                0.86861,                0.53629,                      0,                    inf,                      0,                0.00175,                0.00175,                0.00175
                    102,                0.35987,                0.26205,                0.84138,                0.97983,                0.71447,                0.85956,                0.53644,                      0,                    inf,                      0,              0.0016675,              0.0016675,              0.0016675
                    103,                0.36354,                0.25915,                0.83498,                0.97911,                0.72059,                 0.8655,                0.52785,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
